# Rt Group Reward Records - Total groups: 322
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
98,0,0.008,1,-1.93835,963,30,92.209,93.172,0.0791064,0.13,0,0.966667
99,0,0.008,1,-1.94742,961,30,93.186,94.147,0.0699488,0.13,0,0.966667
100,0,0.008,1,-1.91046,966,30,94.162,95.128,0.107284,0.13,0,0.966667
101,0,0.008,1,-1.93236,992,30,95.142,96.134,0.0851581,0.13,0,0.966667
102,0,0.008,1,-1.84037,972,30,96.149,97.121,0.178081,0.13,0,0.966667
103,0,0.008,1,-1.93631,952,30,97.135,98.087,0.0811656,0.13,0,0.966667
104,0,0.008,1,-1.96439,993,30,98.102,99.095,0.0528065,0.13,0,0.966667
105,0,0.008,1,-1.93528,1030,30,99.077,100.107,0.0822136,0.13,0,0.966667
106,0,0.008,1,-1.96035,940,30,100.122,101.062,0.0568849,0.13,0,0.966667
107,0,0.008,1,-1.95191,955,30,101.076,102.031,0.0654139,0.13,0,0.966667
108,0,0.008,1,-1.95938,962,30,102.045,103.007,0.0578608,0.13,0,0.966667
109,0,0.008,1,-1.94668,930,30,103.022,103.952,0.0706936,0.13,0,0.966667
110,0,0.008,1,-1.96702,961,30,103.966,104.927,0.0501499,0.13,0,0.966667
111,0,0.008,1,-1.94416,974,30,104.941,105.915,0.0732357,0.13,0,0.966667
112,0,0.008,1,-1.94756,986,30,105.896,106.882,0.0698068,0.13,0,0.966667
113,0,0.008,1,-1.95599,962,30,106.897,107.859,0.0612874,0.13,0,0.966667
114,0,0.008,1,-1.96159,962,30,107.873,108.835,0.0556342,0.13,0,0.966667
115,0,0.008,1,-1.97216,980,30,108.833,109.813,0.0449555,0.13,0,0.966667
116,0,0.008,1,-1.95504,962,30,109.828,110.79,0.0622506,0.13,0,0.966667
117,0,0.008,1,-1.86711,961,30,110.805,111.766,0.15107,0.13,0,0.966667
118,0,0.008,1,-1.95444,962,30,111.781,112.743,0.062857,0.13,0,0.966667
119,0,0.008,1,-1.97331,993,30,112.757,113.75,0.0437978,0.13,0,0.966667
120,0,0.008,1,-1.96614,995,30,113.732,114.727,0.0510323,0.13,0,0.966667
121,0,0.008,1,-1.96652,938,30,114.742,115.68,0.0506512,0.13,0,0.966667
122,0,0.008,1,-1.96933,957,30,115.694,116.651,0.0478118,0.13,0,0.966667
123,0,0.008,1,-1.97637,962,30,116.665,117.627,0.0407031,0.13,0,0.966667
124,0,0.008,1,-1.95016,965,30,117.641,118.606,0.0671801,0.13,0,0.966667
125,0,0.008,1,-1.97632,995,30,118.62,119.615,0.0407548,0.13,0,0.966667
126,0,0.008,1,-1.98029,962,30,119.63,120.592,0.0367471,0.13,0,0.966667
127,0,0.008,1,-1.9721,994,30,120.606,121.6,0.0450159,0.13,0,0.966667
128,0,0.008,1,-1.973,1030,30,121.582,122.612,0.0441077,0.13,0,0.966667
129,0,0.008,1,-1.96226,960,30,122.627,123.587,0.0549519,0.13,0,0.966667
130,0,0.008,1,-1.96371,912,30,123.601,124.513,0.0534946,0.13,0,0.966667
131,0,0.008,1,-1.95937,951,30,124.527,125.478,0.0578788,0.13,0,0.966667
132,0,0.008,1,-1.87636,941,30,125.493,126.434,0.141722,0.13,0,0.966667
133,0,0.008,1,-1.85259,956,30,126.447,127.403,0.165733,0.13,0,0.966667
134,0,0.008,1,-1.94762,909,30,127.47,128.379,0.069746,0.13,0,0.966667
135,0,0.008,1,-1.95695,943,30,128.393,129.336,0.0603163,0.13,0,0.966667
136,0,0.008,1,-1.96523,953,30,129.349,130.302,0.0519561,0.13,0,0.966667
137,0,0.008,1,-1.94673,963,30,130.316,131.279,0.0706426,0.13,0,0.966667
138,0,0.008,1,-1.97318,960,30,131.294,132.254,0.0439239,0.13,0,0.966667
139,0,0.008,1,-1.97166,962,30,132.269,133.231,0.0454659,0.13,0,0.966667
140,0,0.008,1,-1.94484,964,30,133.245,134.209,0.0725504,0.13,0,0.966667
141,0,0.008,1,-1.95151,992,30,134.224,135.216,0.0658162,0.13,0,0.966667
142,0,0.008,1,-1.95229,995,30,135.197,136.192,0.0650318,0.13,0,0.966667
143,0,0.008,1,-1.95531,961,30,136.207,137.168,0.0619802,0.13,0,0.966667
144,0,0.008,1,-1.96675,997,30,137.182,138.179,0.0504229,0.13,0,0.966667
145,0,0.008,1,-1.96125,962,30,138.193,139.155,0.0559791,0.13,0,0.966667
146,0,0.008,1,-1.9177,1000,30,139.169,140.169,0.0999635,0.13,0,0.966667
147,0,0.008,1,-1.91994,996,30,140.183,141.179,0.0977054,0.13,0,0.966667
148,0,0.008,1,-1.89598,963,30,141.193,142.156,0.121908,0.13,0,0.966667
149,0,0.008,1,-1.92196,960,30,142.171,143.131,0.0956634,0.13,0,0.966667
150,0,0.008,1,-1.87158,998,30,143.146,144.144,0.146555,0.13,0,0.966667
151,0,0.008,1,-1.87879,969,30,144.159,145.128,0.139272,0.13,0,0.966667
