frame_id,frame_type,deadline_time,first_packet_time,last_packet_time,frame_size,total_packets,packets_received,packets_before_deadline,delivery_ratio,missed_deadline,stall_duration_ms
225,0,7.63333,216.402,217.374,45000,30,30,0,0,1,209740
226,0,7.66667,217.376,218.35,45000,30,30,0,0,1,210683
227,0,7.7,218.385,219.312,45000,30,30,0,0,1,211612
228,0,7.73333,219.346,220.274,45000,30,30,0,0,1,212540
229,0,7.76667,220.308,221.305,45000,30,30,0,0,1,213538
230,0,7.8,221.339,222.271,45000,30,30,0,0,1,214471
231,0,7.83333,222.306,223.247,45000,30,30,0,0,1,215413
232,0,7.86667,223.316,224.26,45000,30,30,0,0,1,216393
233,0,7.9,224.295,225.246,45000,30,30,0,0,1,217345
234,0,7.93333,225.282,226.244,45000,30,30,0,0,1,218310
235,0,7.96667,226.279,227.261,45000,30,30,0,0,1,219294
236,0,8,227.295,228.231,45000,30,30,0,0,1,220230
237,0,8.03333,228.265,229.207,45000,30,30,0,0,1,221173
238,0,8.06667,229.242,230.218,45000,30,30,0,0,1,222151
239,0,8.1,230.253,231.23,45000,30,30,0,0,1,223130
240,1,8.13333,231.265,232.209,45000,30,30,0,0,1,224075
241,0,8.16667,232.244,233.191,45000,30,30,0,0,1,225024
242,0,8.2,233.225,234.194,45000,30,30,0,0,1,225993
243,0,8.23333,234.228,235.165,45000,30,30,0,0,1,226931
244,0,8.26667,235.198,236.118,45000,30,30,0,0,1,227851
245,0,8.3,236.153,237.13,45000,30,30,0,0,1,228830
246,0,8.33333,237.165,238.102,45000,30,30,0,0,1,229768
247,0,8.36667,238.136,239.054,45000,30,30,0,0,1,230687
248,0,8.4,239.089,240.029,45000,30,30,0,0,1,231628
249,0,8.43333,240.064,241,45000,30,30,0,0,1,232566
250,0,8.46667,241.035,241.957,45000,30,30,0,0,1,233490
251,0,8.5,241.991,242.918,45000,30,30,0,0,1,234418
252,0,8.53333,242.951,243.88,45000,30,30,0,0,1,235346
253,0,8.56667,243.915,244.819,45000,30,30,0,0,1,236252
