# FrameAwareWebrtcTrace Bandwidth Statistics
# Bandwidth scale factor (μ): 1
# Loss rate (L): 0.01
# Total bandwidth changes: 9282
# Total packet arrivals: 9600
# Sent records created: 42517888
timestamp_ms,trace_bandwidth_bps,trace_bandwidth_mbps,trace_rtt_ms,trace_loss,original_bandwidth_bps,original_bandwidth_mbps,scaled_bandwidth_bps,scaled_bandwidth_mbps,scale_factor
6138,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6168,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6203,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6238,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6268,1.37665e+06,1.37665,30,0.018,217240,0.21724,217240,0.21724,1
6303,1.37665e+06,1.37665,30,0.018,217240,0.21724,217240,0.21724,1
6338,1.37665e+06,1.37665,30,0.018,217240,0.21724,217240,0.21724,1
6368,1.37665e+06,1.37665,30,0.018,217240,0.21724,217240,0.21724,1
6403,1.37665e+06,1.37665,30,0.018,217240,0.21724,217240,0.21724,1
6438,1.37665e+06,1.37665,30,0.018,219976,0.219976,219976,0.219976,1
6468,1.37665e+06,1.37665,30,0.018,219976,0.219976,219976,0.219976,1
6503,1.37665e+06,1.37665,30,0.018,219976,0.219976,219976,0.219976,1
6538,1.37665e+06,1.37665,30,0.018,220861,0.220861,220861,0.220861,1
6568,1.37665e+06,1.37665,30,0.018,220861,0.220861,220861,0.220861,1
6603,1.37665e+06,1.37665,30,0.018,221302,0.221302,221302,0.221302,1
6638,1.37665e+06,1.37665,30,0.018,221742,0.221742,221742,0.221742,1
6668,1.37665e+06,1.37665,30,0.018,221742,0.221742,221742,0.221742,1
6703,1.37665e+06,1.37665,30,0.018,222179,0.222179,222179,0.222179,1
6738,1.37665e+06,1.37665,30,0.018,222614,0.222614,222614,0.222614,1
6768,2.27281e+06,2.27281,30,0.022,222614,0.222614,222614,0.222614,1
6803,2.27281e+06,2.27281,30,0.022,223049,0.223049,223049,0.223049,1
6838,2.27281e+06,2.27281,30,0.022,223483,0.223483,223483,0.223483,1
6868,2.27281e+06,2.27281,30,0.022,223483,0.223483,223483,0.223483,1
6903,2.27281e+06,2.27281,30,0.022,223915,0.223915,223915,0.223915,1
6938,2.27281e+06,2.27281,30,0.022,224345,0.224345,224345,0.224345,1
6968,2.27281e+06,2.27281,30,0.022,224345,0.224345,224345,0.224345,1
7003,2.27281e+06,2.27281,30,0.022,224774,0.224774,224774,0.224774,1
7038,2.27281e+06,2.27281,30,0.022,225202,0.225202,225202,0.225202,1
7068,2.27281e+06,2.27281,30,0.022,225202,0.225202,225202,0.225202,1
7103,2.27281e+06,2.27281,30,0.022,225630,0.22563,225630,0.22563,1
7138,2.27281e+06,2.27281,30,0.022,226057,0.226057,226057,0.226057,1
7168,2.27281e+06,2.27281,30,0.022,226057,0.226057,226057,0.226057,1
7203,2.27281e+06,2.27281,30,0.022,226484,0.226484,226484,0.226484,1
7238,2.27281e+06,2.27281,30,0.022,226911,0.226911,226911,0.226911,1
7268,2.39276e+06,2.39276,30,0.013,226911,0.226911,226911,0.226911,1
7303,2.39276e+06,2.39276,30,0.013,227338,0.227338,227338,0.227338,1
7338,2.39276e+06,2.39276,30,0.013,227765,0.227765,227765,0.227765,1
7368,2.39276e+06,2.39276,30,0.013,227765,0.227765,227765,0.227765,1
7403,2.39276e+06,2.39276,30,0.013,228193,0.228193,228193,0.228193,1
7438,2.39276e+06,2.39276,30,0.013,228621,0.228621,228621,0.228621,1
7468,2.39276e+06,2.39276,30,0.013,228621,0.228621,228621,0.228621,1
7503,2.39276e+06,2.39276,30,0.013,229050,0.22905,229050,0.22905,1
7538,2.39276e+06,2.39276,30,0.013,229477,0.229477,229477,0.229477,1
7568,2.39276e+06,2.39276,30,0.013,229477,0.229477,229477,0.229477,1
7603,2.39276e+06,2.39276,30,0.013,229904,0.229904,229904,0.229904,1
7638,2.39276e+06,2.39276,30,0.013,230331,0.230331,230331,0.230331,1
7668,2.39276e+06,2.39276,30,0.013,230331,0.230331,230331,0.230331,1
7703,2.39276e+06,2.39276,30,0.013,230758,0.230758,230758,0.230758,1
7738,2.39276e+06,2.39276,30,0.013,231186,0.231186,231186,0.231186,1
7768,2.40019e+06,2.40019,30,0.027,231186,0.231186,231186,0.231186,1
7803,2.40019e+06,2.40019,30,0.027,231613,0.231613,231613,0.231613,1
7838,2.40019e+06,2.40019,30,0.027,232041,0.232041,232041,0.232041,1
7868,2.40019e+06,2.40019,30,0.027,232041,0.232041,232041,0.232041,1
7903,2.40019e+06,2.40019,30,0.027,232452,0.232452,232452,0.232452,1
7938,2.40019e+06,2.40019,30,0.027,232898,0.232898,232898,0.232898,1
7968,2.40019e+06,2.40019,30,0.027,232898,0.232898,232898,0.232898,1
8003,2.40019e+06,2.40019,30,0.027,233328,0.233328,233328,0.233328,1
8038,2.40019e+06,2.40019,30,0.027,233758,0.233758,233758,0.233758,1
8068,2.40019e+06,2.40019,30,0.027,233758,0.233758,233758,0.233758,1
8103,2.40019e+06,2.40019,30,0.027,234189,0.234189,234189,0.234189,1
8138,2.40019e+06,2.40019,30,0.027,234621,0.234621,234621,0.234621,1
8168,2.40019e+06,2.40019,30,0.027,234621,0.234621,234621,0.234621,1
8203,2.40019e+06,2.40019,30,0.027,235053,0.235053,235053,0.235053,1
8238,2.40019e+06,2.40019,30,0.027,235486,0.235486,235486,0.235486,1
8268,2.46067e+06,2.46067,29,0.002,235486,0.235486,235486,0.235486,1
8303,2.46067e+06,2.46067,29,0.002,235919,0.235919,235919,0.235919,1
8338,2.46067e+06,2.46067,29,0.002,236352,0.236352,236352,0.236352,1
8368,2.46067e+06,2.46067,29,0.002,236352,0.236352,236352,0.236352,1
8403,2.46067e+06,2.46067,29,0.002,236785,0.236785,236785,0.236785,1
8438,2.46067e+06,2.46067,29,0.002,237219,0.237219,237219,0.237219,1
8468,2.46067e+06,2.46067,29,0.002,237219,0.237219,237219,0.237219,1
8503,2.46067e+06,2.46067,29,0.002,237653,0.237653,237653,0.237653,1
8538,2.46067e+06,2.46067,29,0.002,238088,0.238088,238088,0.238088,1
8568,2.46067e+06,2.46067,29,0.002,238088,0.238088,238088,0.238088,1
8603,2.46067e+06,2.46067,29,0.002,238523,0.238523,238523,0.238523,1
8638,2.46067e+06,2.46067,29,0.002,238958,0.238958,238958,0.238958,1
8668,2.46067e+06,2.46067,29,0.002,238958,0.238958,238958,0.238958,1
8703,2.46067e+06,2.46067,29,0.002,239392,0.239392,239392,0.239392,1
8738,2.46067e+06,2.46067,29,0.002,239827,0.239827,239827,0.239827,1
8768,2.05586e+06,2.05586,29,0.021,239827,0.239827,239827,0.239827,1
8803,2.05586e+06,2.05586,29,0.021,240262,0.240262,240262,0.240262,1
8838,2.05586e+06,2.05586,29,0.021,240698,0.240698,240698,0.240698,1
8868,2.05586e+06,2.05586,29,0.021,240698,0.240698,240698,0.240698,1
8903,2.05586e+06,2.05586,29,0.021,241134,0.241134,241134,0.241134,1
8938,2.05586e+06,2.05586,29,0.021,241570,0.24157,241570,0.24157,1
8968,2.05586e+06,2.05586,29,0.021,241570,0.24157,241570,0.24157,1
9003,2.05586e+06,2.05586,29,0.021,242006,0.242006,242006,0.242006,1
9038,2.05586e+06,2.05586,29,0.021,242443,0.242443,242443,0.242443,1
9068,2.05586e+06,2.05586,29,0.021,242443,0.242443,242443,0.242443,1
9103,2.05586e+06,2.05586,29,0.021,242880,0.24288,242880,0.24288,1
9138,2.05586e+06,2.05586,29,0.021,243317,0.243317,243317,0.243317,1
9168,2.05586e+06,2.05586,29,0.021,243317,0.243317,243317,0.243317,1
9203,2.05586e+06,2.05586,29,0.021,243754,0.243754,243754,0.243754,1
9238,2.05586e+06,2.05586,29,0.021,244191,0.244191,244191,0.244191,1
9268,1.83271e+06,1.83271,32,0.016,244191,0.244191,244191,0.244191,1
9303,1.83271e+06,1.83271,32,0.016,244620,0.24462,244620,0.24462,1
9338,1.83271e+06,1.83271,32,0.016,245067,0.245067,245067,0.245067,1
9368,1.83271e+06,1.83271,32,0.016,245067,0.245067,245067,0.245067,1
9403,1.83271e+06,1.83271,32,0.016,245506,0.245506,245506,0.245506,1
9438,1.83271e+06,1.83271,32,0.016,245945,0.245945,245945,0.245945,1
9468,1.83271e+06,1.83271,32,0.016,245945,0.245945,245945,0.245945,1
9503,1.83271e+06,1.83271,32,0.016,246384,0.246384,246384,0.246384,1
9538,1.83271e+06,1.83271,32,0.016,246823,0.246823,246823,0.246823,1
9568,1.83271e+06,1.83271,32,0.016,246823,0.246823,246823,0.246823,1
9603,1.83271e+06,1.83271,32,0.016,247263,0.247263,247263,0.247263,1
9638,1.83271e+06,1.83271,32,0.016,247703,0.247703,247703,0.247703,1
9668,1.83271e+06,1.83271,32,0.016,247703,0.247703,247703,0.247703,1
9703,1.83271e+06,1.83271,32,0.016,248143,0.248143,248143,0.248143,1
9738,1.83271e+06,1.83271,32,0.016,248583,0.248583,248583,0.248583,1
9768,856237,0.856237,37,0.07,248583,0.248583,248583,0.248583,1
9803,856237,0.856237,37,0.07,249024,0.249024,249024,0.249024,1
9838,856237,0.856237,37,0.07,249466,0.249466,249466,0.249466,1
9868,856237,0.856237,37,0.07,249466,0.249466,249466,0.249466,1
9903,856237,0.856237,37,0.07,249909,0.249909,249909,0.249909,1
9938,856237,0.856237,37,0.07,250351,0.250351,250351,0.250351,1
9968,856237,0.856237,37,0.07,250351,0.250351,250351,0.250351,1
10003,856237,0.856237,37,0.07,250794,0.250794,250794,0.250794,1
10038,856237,0.856237,37,0.07,251237,0.251237,251237,0.251237,1
10068,856237,0.856237,37,0.07,251237,0.251237,251237,0.251237,1
10103,856237,0.856237,37,0.07,251681,0.251681,251681,0.251681,1
10138,856237,0.856237,37,0.07,252107,0.252107,252107,0.252107,1
10168,856237,0.856237,37,0.07,252107,0.252107,252107,0.252107,1
10203,856237,0.856237,37,0.07,252568,0.252568,252568,0.252568,1
10238,856237,0.856237,37,0.07,253011,0.253011,253011,0.253011,1
10268,1.17709e+06,1.17709,39,0.06,253011,0.253011,253011,0.253011,1
10303,1.17709e+06,1.17709,39,0.06,253454,0.253454,253454,0.253454,1
10338,1.17709e+06,1.17709,39,0.06,253897,0.253897,253897,0.253897,1
10368,1.17709e+06,1.17709,39,0.06,253897,0.253897,253897,0.253897,1
10403,1.17709e+06,1.17709,39,0.06,254340,0.25434,254340,0.25434,1
10438,1.17709e+06,1.17709,39,0.06,254783,0.254783,254783,0.254783,1
10468,1.17709e+06,1.17709,39,0.06,254783,0.254783,254783,0.254783,1
10503,1.17709e+06,1.17709,39,0.06,255226,0.255226,255226,0.255226,1
10538,1.17709e+06,1.17709,39,0.06,255668,0.255668,255668,0.255668,1
10568,1.17709e+06,1.17709,39,0.06,255668,0.255668,255668,0.255668,1
10603,1.17709e+06,1.17709,39,0.06,256110,0.25611,256110,0.25611,1
